Address,Price,Beds,Baths,Area,Measurement,Property Type,URL
245 Fairview Ave,149900,3,1,,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/245-Fairview-Ave_Monticello_KY_42633_M48587-63859?from=srp-list-card
69 Club Hts,150000,3,1,930.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/69-Club-Hts_Monticello_KY_42633_M47747-29159?from=srp-list-card
85 Vine St,175000,2,1.5,1530.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/85-Vine-St_Monticello_KY_42633_M48907-38038?from=srp-list-card
3075 Highway 92,749900,4,3.5,3189.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/3075-Highway-92_Monticello_KY_42633_M98339-63198?from=srp-list-card
143 Red Fox Dr,739900,4,3,,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/143-Red-Fox-Dr_Monticello_KY_42633_M46154-78580?from=srp-list-card
204 Hicks Ramsey Rd,429900,3,2.5,,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/204-Hicks-Ramsey-Rd_Monticello_KY_42633_M46453-04541?from=srp-list-card
2738 Highway 1258,375000,3,1,1248.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/2738-Highway-1258_Monticello_KY_42633_M97533-67390?from=srp-list-card
46 Hall St,148900,2,2,1260.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/46-Hall-St_Monticello_KY_42633_M34942-79935?from=srp-list-card
128 Eastland Dr,165000,3,1,1144.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/128-Eastland-Dr_Monticello_KY_42633_M47932-87598?from=srp-list-card
665 Highway 2393,389900,3,3,3044.0,sqft,SINGLE_FAMILY,https://www.realtor.com/realestateandhomes-detail/665-Highway-2393_Monticello_KY_42633_M47456-98990?from=srp-list-card
